8;65648266;31.7
6;65648266;12.7
8;65648269;29.5
6;65648269;11.6
8;65648273;27.6
6;65648273;10.9
8;65648276;31.3
6;65648276;4.5
8;65648279;37.7
6;65648279;2.9
8;65648283;40.3
6;65648283;6.4
6;65648286;8.3
8;65648290;42.5
6;65648290;6.4
8;65648293;0
6;65648293;5.9
6;65648297;0.3
1;65648313;73.1
8;65648330;7.6
5;65648330;9.0
8;65648334;10.9
5;65648334;11.6
6;65648334;4.3
8;65648337;15.4
5;65648337;14.5
8;65648341;20.0
5;65648341;16.4
8;65648344;24.2
5;65648344;17.1
1;65648344;74.5
8;65648348;28.7
5;65648348;12.6
1;65648348;78.5
8;65648351;32.1
5;65648351;7.8
6;65648351;5.0
1;65648351;82.9
8;65648354;35.7
5;65648354;3.3
1;65648354;86.1
8;65648358;38.4
5;65648358;0
6;65648358;5.9
1;65648358;87.5
8;65648361;41.2
1;65648361;87.3
8;65648365;43.4
6;65648365;6.6
1;65648365;86.1
8;65648368;45.6
5;65648368;2.7
1;65648368;82.7
3;65648368;56.5
8;65648372;47.3
5;65648372;5.9
1;65648372;79.3
3;65648372;57.4
8;65648375;49
5;65648375;7.1
6;65648375;7.3
1;65648375;78.3
3;65648375;58.1
8;65648378;50.3
5;65648378;5.3
1;65648378;79.8
3;65648378;58.4
8;65648382;51.7
5;65648382;4.5
1;65648382;80.9
8;65648385;52.8
5;65648385;3.2
6;65648385;7.8
1;65648385;81.5
3;65648385;56.9
8;65648389;53.9
5;65648389;2.0
1;65648389;81.9
3;65648389;53.6
8;65648392;54.6
5;65648392;1.5
3;65648392;49.5
8;65648395;55.4
5;65648395;0.6
1;65648395;81.7
3;65648395;47.2
8;65648399;56.0
5;65648399;1.3
6;65648399;8.3
1;65648399;81.3
3;65648399;48.1
8;65648402;56.6
5;65648402;0.6
1;65648402;81.1
3;65648402;46.4
8;65648406;53.4
5;65648406;4.0
6;65648406;13.1
1;65648406;79
3;65648406;39.3
8;65648409;48.0
5;65648409;6.4
6;65648409;15.1
1;65648409;76.7
3;65648409;29.7
8;65648412;43.1
5;65648412;6.1
6;65648412;14.6
1;65648412;77.6
3;65648412;26.6
8;65648416;38.5
5;65648416;6.9
6;65648416;13.4
1;65648416;78.1
3;65648416;27.3
8;65648419;35.6
6;65648419;12.4
1;65648419;78.5
3;65648419;31.4
8;65648422;33.4
5;65648422;7.2
6;65648422;11.5
1;65648422;78.8
3;65648422;35.6
8;65648426;31.9
6;65648426;10.6
1;65648426;79.2
3;65648426;38.9
8;65648429;31.3
5;65648429;6.6
6;65648429;9.6
1;65648429;79.6
3;65648429;38.6
5;65648432;6.2
6;65648432;8.9
1;65648432;80.1
3;65648432;38.2
8;65648436;31.6
5;65648436;5.5
1;65648436;80.6
3;65648436;42.3
1;65648439;80.8
3;65648439;47.4
5;65648443;4.4
1;65648443;81
3;65648443;51.4
8;65648446;31.9
3;65648446;55.1
8;65648450;33.3
5;65648450;3.6
6;65648450;7.3
3;65648450;58
8;65648453;36.5
5;65648453;3.2
6;65648453;5.7
3;65648453;59.3
8;65648456;39.4
5;65648456;0.5
1;65648456;82.3
3;65648456;59.5
8;65648460;41.8
6;65648460;6.3
1;65648460;82.8
3;65648460;59.7
8;65648463;44.2
5;65648463;0
8;65648467;46.0
5;65648467;1.5
6;65648467;6.9
1;65648467;81.2
8;65648470;47.9
5;65648470;4.9
1;65648470;78.8
3;65648470;60.1
8;65648474;49.4
5;65648474;5.7
1;65648474;78
8;65648477;50.8
